Energies Counts
1.00 1348864.20
1.06 1216351.64
1.12 1096857.12
1.18 989101.76
1.25 891932.30
1.33 804308.77
1.40 725293.39
1.48 654040.49
1.57 589787.49
1.66 531846.70
1.76 479598.02
1.86 432482.26
1.97 389995.16
2.08 351681.99
2.20 317132.72
2.33 285977.56
2.47 257883.10
2.61 232548.64
2.76 209703.03
2.92 189101.78
3.09 170524.40
3.27 153772.07
3.46 138665.48
3.66 125042.97
3.87 112758.74
4.09 101681.31
4.33 91692.12
4.58 82684.28
4.85 74561.37
5.13 67236.45
5.43 60631.14
5.74 54674.73
6.08 49303.48
6.43 44459.90
6.80 40092.15
7.20 36153.49
7.61 32601.77
8.06 29398.97
8.52 26510.81
9.02 23906.39
9.54 21557.82
10.09 19439.98
10.68 17530.19
11.30 15808.02
11.96 14255.04
12.65 12854.63
13.38 11591.79
14.16 10453.01
14.98 9426.10
15.85 8500.08
